trade_id,trade_date,settle_date,security_id,side,quantity,price,counterparty,book
T100000,2026-04-20,2026-04-28,GS,SELL,6620,185.64,JP Morgan,EQ-NY
T100001,2026-04-23,2026-04-27,HSBA.L,BUY,7521,417.1,Barclays,EQ-NY
T100002,2026-04-19,2026-04-28,VOD.L,BUY,6677,168.93,UBS,EQ-HK
T100003,2026-04-22,2026-04-26,AAPL,BUY,2648,214.15,Morgan Stanley,EQ-LDN
T100004,2026-04-20,2026-04-27,TSLA,BUY,7352,226.16,JP Morgan,EQ-LDN
T100005,2026-04-17,2026-04-28,GOOG,SELL,4708,142.89,Citi,EQ-LDN
T100006,2026-04-24,2026-04-28,BAC,BUY,8807,443.47,JP Morgan,EQ-HK
T100007,2026-04-20,2026-04-27,JPM,BUY,6740,101.07,Goldman Sachs,EQ-HK
T100008,2026-04-19,2026-04-28,HSBA.L,BUY,6845,303.41,Morgan Stanley,EQ-LDN
T100009,2026-04-22,2026-04-28,HSBA.L,SELL,3162,416.37,UBS,EQ-LDN
T100010,2026-04-23,2026-04-26,AAPL,SELL,5381,311.41,Morgan Stanley,EQ-HK
T100011,2026-04-19,2026-04-26,GOOG,SELL,4862,197.1,Citi,EQ-HK
T100012,2026-04-19,2026-04-26,JPM,BUY,9859,401.61,UBS,EQ-NY
T100013,2026-04-24,2026-04-26,TSLA,BUY,9740,274.63,Goldman Sachs,EQ-NY
T100014,2026-04-21,2026-04-26,MSFT,SELL,1066,123.36,Citi,EQ-NY
T100015,2026-04-22,2026-04-26,MSFT,SELL,6176,192.59,Citi,EQ-LDN
T100016,2026-04-25,2026-04-27,HSBA.L,BUY,5794,316.37,Barclays,EQ-LDN
T100017,2026-04-19,2026-04-26,GOOG,SELL,8655,346.45,Morgan Stanley,EQ-LDN
T100018,2026-04-21,2026-04-28,AAPL,BUY,207,296.66,JP Morgan,EQ-HK
T100019,2026-04-25,2026-04-27,HSBA.L,SELL,7281,172.4,UBS,EQ-NY
T100020,2026-04-22,2026-04-28,MSFT,BUY,8914,317.19,Morgan Stanley,EQ-HK
T100021,2026-04-26,2026-04-26,HSBA.L,BUY,4516,199.6,UBS,EQ-HK
T100022,2026-04-17,2026-04-26,MSFT,BUY,609,151.21,Morgan Stanley,EQ-HK
T100023,2026-04-21,2026-04-28,GOOG,SELL,6915,475.49,JP Morgan,EQ-LDN
T100024,2026-04-18,2026-04-28,GOOG,SELL,9356,191.69,UBS,EQ-LDN
T100025,2026-04-26,2026-04-28,AAPL,BUY,3965,201.03,UBS,EQ-HK
T100026,2026-04-17,2026-04-27,BAC,SELL,8595,453.55,Barclays,EQ-NY
T100027,2026-04-24,2026-04-26,BAC,BUY,9260,114.21,Goldman Sachs,EQ-LDN
T100028,2026-04-20,2026-04-28,HSBA.L,SELL,9730,313.07,Morgan Stanley,EQ-LDN
T100029,2026-04-23,2026-04-26,HSBA.L,SELL,3971,402.67,JP Morgan,EQ-HK
T100030,2026-04-18,2026-04-28,HSBA.L,BUY,5613,173.15,Barclays,EQ-LDN
T100031,2026-04-24,2026-04-26,AAPL,SELL,6608,429.84,Barclays,EQ-NY
T100032,2026-04-22,2026-04-27,GS,SELL,7264,396.34,Goldman Sachs,EQ-HK
T100033,2026-04-24,2026-04-26,HSBA.L,BUY,3600,268.74,JP Morgan,EQ-LDN
T100034,2026-04-20,2026-04-28,BAC,BUY,2299,103.42,Citi,EQ-HK
T100035,2026-04-22,2026-04-26,BAC,BUY,4001,486.55,Morgan Stanley,EQ-HK
T100036,2026-04-18,2026-04-27,JPM,BUY,7858,330.9,UBS,EQ-NY
T100037,2026-04-20,2026-04-27,GOOG,SELL,6170,282.69,Goldman Sachs,EQ-NY
T100038,2026-04-25,2026-04-26,GS,SELL,2370,448.45,UBS,EQ-LDN
T100039,2026-04-23,2026-04-28,MSFT,BUY,5485,239.61,Barclays,EQ-HK
T100040,2026-04-18,2026-04-27,BAC,SELL,329,303.64,UBS,EQ-LDN
T100041,2026-04-25,2026-04-27,TSLA,BUY,2586,436.29,Morgan Stanley,EQ-LDN
T100042,2026-04-17,2026-04-26,TSLA,BUY,8441,226.84,Citi,EQ-LDN
T100043,2026-04-18,2026-04-27,BAC,BUY,1009,397.58,Morgan Stanley,EQ-NY
T100044,2026-04-17,2026-04-27,TSLA,SELL,1077,165.26,Citi,EQ-HK
T100045,2026-04-22,2026-04-28,AMZN,SELL,734,366.06,UBS,EQ-HK
T100046,2026-04-25,2026-04-28,GS,SELL,6089,279.7,UBS,EQ-NY
T100047,2026-04-23,2026-04-28,GOOG,BUY,4817,124.21,Goldman Sachs,EQ-NY
T100048,2026-04-20,2026-04-26,BAC,BUY,2290,111.2,Citi,EQ-LDN
T100049,2026-04-19,2026-04-27,BAC,SELL,5289,255.96,Morgan Stanley,EQ-LDN
T100050,2026-04-24,2026-04-26,MSFT,SELL,5039,369.88,UBS,EQ-NY
T100051,2026-04-26,2026-04-27,GS,SELL,7181,321.48,JP Morgan,EQ-NY
T100052,2026-04-23,2026-04-27,HSBA.L,SELL,3574,434.63,Goldman Sachs,EQ-HK
T100053,2026-04-25,2026-04-27,HSBA.L,BUY,6795,225.35,Goldman Sachs,EQ-HK
T100054,2026-04-19,2026-04-28,VOD.L,SELL,7294,429.64,Goldman Sachs,EQ-HK
T100055,2026-04-23,2026-04-26,JPM,SELL,1965,66.66,Goldman Sachs,EQ-NY
T100056,2026-04-25,2026-04-26,AMZN,BUY,398,214.61,Citi,EQ-LDN
T100057,2026-04-21,2026-04-27,AAPL,SELL,2839,82.84,Citi,EQ-HK
T100058,2026-04-21,2026-04-26,AAPL,SELL,6801,463.66,UBS,EQ-NY
T100059,2026-04-17,2026-04-28,VOD.L,SELL,3825,263.89,Barclays,EQ-NY
T100060,2026-04-23,2026-04-26,GOOG,BUY,4640,192.27,JP Morgan,EQ-LDN
T100061,2026-04-21,2026-04-27,AAPL,BUY,8389,271.62,Barclays,EQ-HK
T100062,2026-04-25,2026-04-28,HSBA.L,SELL,4914,289.78,Barclays,EQ-HK
T100063,2026-04-17,2026-04-28,TSLA,BUY,6234,430.8,UBS,EQ-NY
T100064,2026-04-25,2026-04-27,JPM,SELL,3622,294.09,Goldman Sachs,EQ-HK
T100065,2026-04-17,2026-04-26,GS,SELL,4518,244.12,Goldman Sachs,EQ-LDN
T100066,2026-04-23,2026-04-27,HSBA.L,BUY,6918,482.61,UBS,EQ-HK
T100067,2026-04-19,2026-04-26,MSFT,SELL,8224,485.85,UBS,EQ-LDN
T100068,2026-04-20,2026-04-26,GS,BUY,8262,67.29,Citi,EQ-NY
T100069,2026-04-18,2026-04-28,AAPL,BUY,5589,368.08,Morgan Stanley,EQ-LDN
T100070,2026-04-19,2026-04-27,MSFT,BUY,6185,217.29,Goldman Sachs,EQ-LDN
T100071,2026-04-22,2026-04-28,GS,SELL,9137,353.84,JP Morgan,EQ-LDN
T100072,2026-04-25,2026-04-27,BAC,SELL,4285,336.62,Morgan Stanley,EQ-LDN
T100073,2026-04-22,2026-04-27,AMZN,SELL,4326,198.55,Barclays,EQ-NY
T100074,2026-04-19,2026-04-28,HSBA.L,SELL,8196,494.0,Citi,EQ-LDN
T100075,2026-04-17,2026-04-27,MSFT,BUY,3981,210.7,Citi,EQ-NY
T100076,2026-04-18,2026-04-27,VOD.L,SELL,7792,334.39,Goldman Sachs,EQ-HK
T100077,2026-04-18,2026-04-26,AMZN,SELL,9344,416.02,UBS,EQ-HK
T100078,2026-04-26,2026-04-27,GS,BUY,3715,115.46,UBS,EQ-HK
T100079,2026-04-18,2026-04-27,GOOG,BUY,6905,185.26,UBS,EQ-HK
T100080,2026-04-20,2026-04-28,VOD.L,SELL,3257,139.54,Goldman Sachs,EQ-NY
T100081,2026-04-18,2026-04-28,HSBA.L,BUY,2205,401.82,Citi,EQ-NY
T100082,2026-04-19,2026-04-27,BAC,SELL,5276,410.54,JP Morgan,EQ-HK
T100083,2026-04-26,2026-04-26,MSFT,SELL,1093,165.17,UBS,EQ-LDN
T100084,2026-04-19,2026-04-26,TSLA,BUY,3196,51.86,Citi,EQ-HK
T100085,2026-04-19,2026-04-28,MSFT,BUY,289,240.51,Goldman Sachs,EQ-HK
T100086,2026-04-24,2026-04-27,AMZN,SELL,2998,359.21,Barclays,EQ-HK
T100087,2026-04-26,2026-04-27,MSFT,SELL,5956,330.13,Morgan Stanley,EQ-NY
T100088,2026-04-19,2026-04-26,AMZN,SELL,4349,250.56,Goldman Sachs,EQ-HK
T100089,2026-04-24,2026-04-26,VOD.L,SELL,5488,185.87,Goldman Sachs,EQ-HK
T100090,2026-04-24,2026-04-26,MSFT,SELL,7146,263.47,Citi,EQ-HK
T100091,2026-04-26,2026-04-28,VOD.L,BUY,3511,56.8,UBS,EQ-NY
T100092,2026-04-22,2026-04-27,BAC,SELL,9338,83.6562,Morgan Stanley,EQ-HK
T100093,2026-04-17,2026-04-28,BAC,BUY,705,123.2,Morgan Stanley,EQ-HK
T100094,2026-04-20,2026-04-27,AMZN,BUY,1466,331.43,UBS,EQ-LDN
T100095,2026-04-17,2026-04-28,GS,BUY,6582,148.46,JP Morgan,EQ-HK
T100096,2026-04-18,2026-04-27,BAC,SELL,9356,240.52,Goldman Sachs,EQ-NY
T100097,2026-04-20,2026-04-26,JPM,SELL,5895,329.63,UBS,EQ-LDN
T100098,2026-04-18,2026-04-26,MSFT,BUY,617,423.76,Citi,EQ-HK
T100099,2026-04-19,2026-04-26,JPM,BUY,5318,297.35,JP Morgan,EQ-NY
T100100,2026-04-25,2026-04-28,MSFT,BUY,3907,129.71,UBS,EQ-LDN
T100101,2026-04-26,2026-04-26,AAPL,BUY,5535,478.28,Barclays,EQ-NY
T100102,2026-04-20,2026-04-27,VOD.L,BUY,2372,90.51,JP Morgan,EQ-LDN
T100103,2026-04-20,2026-04-28,AMZN,SELL,2408,215.2,Citi,EQ-NY
T100104,2026-04-19,2026-04-27,HSBA.L,BUY,9394,464.6,JP Morgan,EQ-LDN
T100105,2026-04-22,2026-04-28,HSBA.L,SELL,4892,321.05,Morgan Stanley,EQ-HK
T100106,2026-04-24,2026-04-27,GOOG,BUY,910,348.19,Goldman Sachs,EQ-HK
T100107,2026-04-19,2026-04-27,GS,BUY,8368,185.76,UBS,EQ-HK
T100108,2026-04-21,2026-04-28,AMZN,SELL,2409,85.34,Citi,EQ-HK
T100109,2026-04-24,2026-04-28,BAC,SELL,8008,214.59,Citi,EQ-LDN
T100110,2026-04-26,2026-04-26,TSLA,BUY,9317,230.97,UBS,EQ-LDN
T100111,2026-04-24,2026-04-26,GS,SELL,4539,171.62,Goldman Sachs,EQ-LDN
T100112,2026-04-22,2026-04-27,GS,SELL,6489,146.97,Citi,EQ-LDN
T100113,2026-04-24,2026-04-27,TSLA,BUY,3658,209.98,Citi,EQ-LDN
